Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,ARG,,50.3633952,49.85365533,49.28398905,48.70738008,48.15306081,47.84904392,47.39411479,47.22310528,47.24758741,47.23954851,47.19350749,47.14746646,47.10142544,47.05538442,47.0093434,46.96330238,46.91726136,46.87122034,46.82517932,46.7791383,46.73309728,47.05282659,47.00715097,46.96074455,46.91470353,46.86866251,46.7495405,46.54527915,46.57816559,46.61287906,46.64759253,46.682306,46.71701947,46.75282915,46.78827343,46.8237177,46.85770036,46.89241383,46.92237703,46.95818671,46.99326559,47.0312677,47.8254753,49.09032444,50.35188494,51.56009632,52.63036734,52.71367966,52.54230476,53.89028352,54.18260746,54.53814645,54.51804918,54.33571212,54.33571212,54.33571212,,,
France,FRA,,63.07732586,62.89652575,62.73946706,62.29203242,62.09479593,61.81172504,61.41542579,60.59178081,60.5826495,59.34444263,59.5782044,59.38096791,59.2805234,59.24765065,59.09241822,58.47879358,58.2760783,58.36921775,58.13728225,57.9327407,57.86882147,57.79394465,57.64601728,57.54192025,57.42138683,57.33555243,57.25884935,56.30371338,56.14099399,55.87052503,55.67347045,55.48974902,55.31990649,55.16211658,55.06221781,54.96378505,54.86023375,54.75138914,54.6584316,54.43607963,54.26422923,54.07685204,53.90833912,53.7987147,53.67550923,53.53360406,53.33892184,53.16359762,52.99886734,52.82792694,52.74081058,52.67908399,52.54923164,52.53608375,52.46376323,52.44754417,,,
India,IND,,58.84319536,59.35779415,59.24747493,59.43515214,59.59154982,59.71027751,59.80344344,59.99078431,59.79839835,59.88584652,59.80680683,59.85019457,60.12094753,60.29954359,60.43811529,60.42298003,60.40347236,60.74014779,60.73611172,60.63251928,60.67590702,60.80035248,60.69642371,61.0293994,60.99172942,60.94195124,61.06000626,60.90798099,61.04588001,61.01628218,61.07446884,60.97995755,61.00585566,60.97524881,60.85887548,60.73913877,60.87098369,60.83499541,60.88443725,60.86896566,60.70483218,60.72938494,60.62478348,60.66716221,60.58341377,60.50941918,60.4132262,60.45930465,60.56390611,60.39741826,60.43004315,60.42062566,60.43946065,60.44719645,60.44719645,60.44719645,,,
Malaysia,MYS,,9.388951424,9.590473143,9.970689749,10.15985396,10.64477275,10.6776134,10.87103921,11.26251727,11.43186712,11.82471469,12.04924678,12.41829259,12.66440462,12.84879079,13.25259515,13.51276858,13.91185583,13.98146359,14.72868624,14.87183119,15.35471021,15.54646184,15.84367658,15.87618359,16.48379242,17.40952641,18.48546615,19.43022312,20.45868268,20.5649067,20.68026176,20.71678588,20.97519374,21.27803957,21.20225232,21.1873386,21.18003407,21.1374226,21.14472713,21.11916054,21.14442246,21.41987521,21.65953503,21.70659015,21.7148384,21.53462242,21.63202007,21.76350602,21.97534622,22.4906401,22.92071252,23.8295547,24.52990353,24.62030132,26.0842177,26.25779942,,,
